time	from	to
2019-07-03T00:00:00	77	58	
2019-07-03T00:00:00	77	19	
2019-07-03T00:00:00	79	80	
2019-07-03T00:00:00	79	55	
2019-07-03T00:00:00	79	112	
2019-07-03T00:00:00	80	158	
2019-07-03T00:00:00	80	79	
2019-07-03T00:00:00	80	112	
2019-07-03T00:00:00	81	57	
2019-07-03T00:00:00	82	56	
2019-07-03T00:00:00	82	120	
2019-07-03T00:00:00	85	100	
2019-07-03T00:00:00	85	87	
2019-07-03T00:00:00	85	104	
2019-07-03T00:00:00	85	244	
2019-07-03T00:00:00	87	85	
2019-07-03T00:00:00	87	128	
2019-07-03T00:00:00	91	109	
2019-07-03T00:00:00	91	118	
2019-07-03T00:00:00	91	94	
2019-07-03T00:00:00	94	101	
2019-07-03T00:00:00	94	118	
2019-07-03T00:00:00	94	91	
2019-07-03T00:00:00	97	32	
2019-07-03T00:00:00	97	164	
2019-07-03T00:00:00	99	36	
2019-07-03T00:00:00	100	85	
2019-07-03T00:00:00	100	120	
2019-07-03T00:00:00	101	94	
2019-07-03T00:00:00	104	56	
2019-07-03T00:00:00	104	85	
2019-07-03T00:00:00	105	107	
2019-07-03T00:00:00	107	105	
2019-07-03T00:00:00	109	91	
2019-07-03T00:00:00	110	73	
2019-07-03T00:00:00	111	74	
2019-07-03T00:00:00	112	80	
2019-07-03T00:00:00	112	79	
2019-07-03T00:00:00	113	137	
2019-07-03T00:00:00	114	39	
2019-07-03T00:00:00	114	117	
2019-07-03T00:00:00	114	8	
2019-07-03T00:00:00	115	152	
2019-07-03T00:00:00	115	139	
2019-07-03T00:00:00	117	114	
2019-07-03T00:00:00	118	94	
2019-07-03T00:00:00	118	91	
2019-07-03T00:00:00	119	200	
2019-07-03T00:00:00	120	56	
2019-07-03T00:00:00	120	100	
2019-07-03T00:00:00	120	82	
2019-07-03T00:00:00	120	29	
2019-07-03T00:00:00	122	2	
2019-07-03T00:00:00	122	133	
2019-07-03T00:00:00	123	129	
2019-07-03T00:00:00	124	141	
2019-07-03T00:00:00	125	147	
2019-07-03T00:00:00	126	134	
2019-07-03T00:00:00	126	161	
2019-07-03T00:00:00	128	87	
2019-07-03T00:00:00	128	133	
2019-07-03T00:00:00	129	123	
2019-07-03T00:00:00	129	134	
2019-07-03T00:00:00	131	135	
2019-07-03T00:00:00	131	159	
2019-07-03T00:00:00	132	226	
2019-07-03T00:00:00	133	128	
2019-07-03T00:00:00	133	2	
2019-07-03T00:00:00	133	122	
2019-07-03T00:00:00	133	137	
2019-07-03T00:00:00	134	126	
2019-07-03T00:00:00	134	129	
2019-07-03T00:00:00	134	161	
2019-07-03T00:00:00	135	148	
2019-07-03T00:00:00	135	131	
2019-07-03T00:00:00	135	159	
2019-07-03T00:00:00	135	161	
2019-07-03T00:00:00	137	113	
2019-07-03T00:00:00	137	2	
2019-07-03T00:00:00	137	133	
2019-07-03T00:00:00	139	152	
2019-07-03T00:00:00	139	115	
2019-07-03T00:00:00	141	124	
2019-07-03T00:00:00	142	189	
2019-07-03T00:00:00	147	125	
2019-07-03T00:00:00	148	135	
2019-07-03T00:00:00	148	159	
2019-07-03T00:00:00	148	161	
2019-07-03T00:00:00	152	181	
2019-07-03T00:00:00	152	115	
2019-07-03T00:00:00	152	139	
2019-07-03T00:00:00	156	157	
2019-07-03T00:00:00	157	156	
2019-07-03T00:00:00	158	80	
2019-07-03T00:00:00	159	38	
2019-07-03T00:00:00	159	148	
2019-07-03T00:00:00	159	135	
2019-07-03T00:00:00	159	131	
2019-07-03T00:00:00	160	0	
2019-07-03T00:00:00	161	148	
2019-07-03T00:00:00	161	134	
2019-07-03T00:00:00	161	126	
2019-07-03T00:00:00	161	135	
2019-07-03T00:00:00	163	192	
2019-07-03T00:00:00	163	194	
2019-07-03T00:00:00	164	97	
2019-07-03T00:00:00	168	178	
2019-07-03T00:00:00	168	183	
2019-07-03T00:00:00	170	201	
2019-07-03T00:00:00	171	42	
2019-07-03T00:00:00	171	186	
2019-07-03T00:00:00	172	26	
2019-07-03T00:00:00	172	194	
2019-07-03T00:00:00	174	50	
2019-07-03T00:00:00	176	185	
2019-07-03T00:00:00	178	168	
2019-07-03T00:00:00	180	223	
2019-07-03T00:00:00	181	152	
2019-07-03T00:00:00	182	198	
2019-07-03T00:00:00	183	168	
2019-07-03T00:00:00	185	176	
2019-07-03T00:00:00	186	171	
2019-07-03T00:00:00	186	31	
2019-07-03T00:00:00	186	203	
2019-07-03T00:00:00	188	71	
2019-07-03T00:00:00	189	142	
2019-07-03T00:00:00	189	208	
2019-07-03T00:00:00	192	163	
2019-07-03T00:00:00	192	194	
2019-07-03T00:00:00	194	192	
2019-07-03T00:00:00	194	163	
2019-07-03T00:00:00	194	172	
2019-07-03T00:00:00	196	41	
2019-07-03T00:00:00	197	67	
2019-07-03T00:00:00	198	182	
2019-07-03T00:00:00	199	218	
2019-07-03T00:00:00	200	119	
2019-07-03T00:00:00	201	170	
2019-07-03T00:00:00	203	186	
2019-07-03T00:00:00	203	249	
2019-07-03T00:00:00	206	244	
2019-07-03T00:00:00	206	225	
2019-07-03T00:00:00	208	189	
2019-07-03T00:00:00	209	232	
2019-07-03T00:00:00	210	69	
2019-07-03T00:00:00	212	233	
2019-07-03T00:00:00	213	53	
2019-07-03T00:00:00	218	199	
2019-07-03T00:00:00	221	43	
2019-07-03T00:00:00	223	180	
2019-07-03T00:00:00	224	241	
2019-07-03T00:00:00	224	30	
2019-07-03T00:00:00	225	236	
2019-07-03T00:00:00	225	247	
2019-07-03T00:00:00	225	206	
2019-07-03T00:00:00	225	244	
2019-07-03T00:00:00	225	246	
2019-07-03T00:00:00	226	132	
2019-07-03T00:00:00	232	209	
2019-07-03T00:00:00	233	212	
2019-07-03T00:00:00	235	249	
2019-07-03T00:00:00	236	244	
2019-07-03T00:00:00	236	225	
2019-07-03T00:00:00	241	224	
2019-07-03T00:00:00	244	85	
2019-07-03T00:00:00	244	236	
2019-07-03T00:00:00	244	206	
2019-07-03T00:00:00	244	225	
2019-07-03T00:00:00	245	43	
2019-07-03T00:00:00	246	225	
2019-07-03T00:00:00	247	225	
2019-07-03T00:00:00	249	235	
2019-07-03T00:00:00	249	203	
2019-07-04T00:00:00	0	160	
2019-07-04T00:00:00	1	14	
2019-07-04T00:00:00	1	33	
2019-07-04T00:00:00	2	45	
2019-07-04T00:00:00	2	83	
2019-07-04T00:00:00	2	122	
2019-07-04T00:00:00	2	133	
2019-07-04T00:00:00	2	137	
2019-07-04T00:00:00	2	125	
2019-07-04T00:00:00	3	24	
2019-07-04T00:00:00	3	27	
2019-07-04T00:00:00	3	11	
2019-07-04T00:00:00	4	185	
2019-07-04T00:00:00	6	35	
2019-07-04T00:00:00	6	28	
2019-07-04T00:00:00	7	20	
2019-07-04T00:00:00	8	39	
2019-07-04T00:00:00	8	114	
2019-07-04T00:00:00	9	58	
2019-07-04T00:00:00	9	64	
2019-07-04T00:00:00	9	19	
2019-07-04T00:00:00	10	20	
2019-07-04T00:00:00	11	24	
2019-07-04T00:00:00	11	3	
2019-07-04T00:00:00	13	25	
2019-07-04T00:00:00	14	33	
2019-07-04T00:00:00	14	1	
2019-07-04T00:00:00	17	33	
2019-07-04T00:00:00	18	190	
2019-07-04T00:00:00	19	77	
2019-07-04T00:00:00	19	9	
2019-07-04T00:00:00	19	58	
2019-07-04T00:00:00	19	75	
2019-07-04T00:00:00	19	48	
2019-07-04T00:00:00	19	53	
2019-07-04T00:00:00	20	7	
2019-07-04T00:00:00	20	10	
2019-07-04T00:00:00	21	25	
2019-07-04T00:00:00	21	37	
2019-07-04T00:00:00	24	3	
2019-07-04T00:00:00	24	27	
2019-07-04T00:00:00	24	11	
2019-07-04T00:00:00	25	37	
2019-07-04T00:00:00	25	13	
2019-07-04T00:00:00	25	21	
2019-07-04T00:00:00	26	172	
2019-07-04T00:00:00	27	24	
2019-07-04T00:00:00	27	3	
2019-07-04T00:00:00	28	31	
2019-07-04T00:00:00	28	6	
2019-07-04T00:00:00	28	29	
2019-07-04T00:00:00	29	31	
2019-07-04T00:00:00	29	28	
2019-07-04T00:00:00	29	120	
2019-07-04T00:00:00	30	224	
2019-07-04T00:00:00	31	186	
2019-07-04T00:00:00	31	28	
2019-07-04T00:00:00	31	29	
2019-07-04T00:00:00	32	97	
2019-07-04T00:00:00	33	14	
2019-07-04T00:00:00	33	1	
2019-07-04T00:00:00	33	17	
2019-07-04T00:00:00	35	79	
2019-07-04T00:00:00	35	6	
2019-07-04T00:00:00	36	99	
2019-07-04T00:00:00	37	25	
2019-07-04T00:00:00	37	21	
2019-07-04T00:00:00	38	159	
2019-07-04T00:00:00	39	73	
2019-07-04T00:00:00	39	108	
2019-07-04T00:00:00	39	74	
2019-07-04T00:00:00	39	114	
2019-07-04T00:00:00	39	40	
2019-07-04T00:00:00	39	8	
2019-07-04T00:00:00	40	73	
2019-07-04T00:00:00	40	39	
2019-07-04T00:00:00	40	69	
2019-07-04T00:00:00	40	74	
2019-07-04T00:00:00	40	199	
2019-07-04T00:00:00	41	49	
2019-07-04T00:00:00	41	67	
2019-07-04T00:00:00	41	218	
2019-07-04T00:00:00	41	196	
2019-07-04T00:00:00	42	171	
2019-07-04T00:00:00	43	221	
2019-07-04T00:00:00	43	245	
2019-07-04T00:00:00	43	136	
2019-07-04T00:00:00	45	2	
2019-07-04T00:00:00	45	72	
2019-07-04T00:00:00	46	68	
2019-07-04T00:00:00	48	213	
2019-07-04T00:00:00	48	19	
2019-07-04T00:00:00	48	53	
2019-07-04T00:00:00	49	41	
2019-07-04T00:00:00	50	174	
2019-07-04T00:00:00	52	65	
2019-07-04T00:00:00	52	75	
2019-07-04T00:00:00	53	213	
2019-07-04T00:00:00	53	48	
2019-07-04T00:00:00	53	19	
2019-07-04T00:00:00	55	79	
2019-07-04T00:00:00	56	104	
2019-07-04T00:00:00	56	120	
2019-07-04T00:00:00	56	82	
2019-07-04T00:00:00	57	81	
2019-07-04T00:00:00	57	64	
2019-07-04T00:00:00	57	62	
2019-07-04T00:00:00	58	77	
2019-07-04T00:00:00	58	9	
2019-07-04T00:00:00	58	19	
2019-07-04T00:00:00	59	63	
2019-07-04T00:00:00	62	64	
2019-07-04T00:00:00	62	63	
2019-07-04T00:00:00	62	57	
2019-07-04T00:00:00	63	59	
2019-07-04T00:00:00	63	62	
2019-07-04T00:00:00	64	9	
2019-07-04T00:00:00	64	62	
2019-07-04T00:00:00	64	57	
2019-07-04T00:00:00	65	52	
2019-07-04T00:00:00	66	69	
2019-07-04T00:00:00	67	41	
2019-07-04T00:00:00	67	218	
2019-07-04T00:00:00	67	197	
2019-07-04T00:00:00	68	71	
2019-07-04T00:00:00	68	46	
2019-07-04T00:00:00	68	70	
2019-07-04T00:00:00	69	210	
2019-07-04T00:00:00	69	40	
2019-07-04T00:00:00	69	66	
2019-07-04T00:00:00	69	199	
2019-07-04T00:00:00	70	71	
2019-07-04T00:00:00	70	68	
2019-07-04T00:00:00	70	75	
2019-07-04T00:00:00	71	188	
2019-07-04T00:00:00	71	68	
2019-07-04T00:00:00	71	70	
2019-07-04T00:00:00	72	45	
2019-07-04T00:00:00	73	110	
2019-07-04T00:00:00	73	39	
2019-07-04T00:00:00	73	74	
2019-07-04T00:00:00	73	40	
2019-07-04T00:00:00	74	73	
2019-07-04T00:00:00	74	111	
2019-07-04T00:00:00	74	39	
2019-07-04T00:00:00	74	40	
2019-07-04T00:00:00	75	52	
2019-07-04T00:00:00	75	19	
2019-07-04T00:00:00	75	70	
2019-07-04T00:00:00	76	88	
2019-07-04T00:00:00	77	58	
2019-07-04T00:00:00	77	19	
2019-07-04T00:00:00	79	80	
2019-07-04T00:00:00	79	35	
2019-07-04T00:00:00	79	55	
2019-07-04T00:00:00	79	112	
2019-07-04T00:00:00	80	158	
2019-07-04T00:00:00	80	79	
2019-07-04T00:00:00	80	112	
2019-07-04T00:00:00	81	57	
2019-07-04T00:00:00	82	56	
2019-07-04T00:00:00	82	100	
2019-07-04T00:00:00	82	120	
2019-07-04T00:00:00	83	128	
2019-07-04T00:00:00	83	177	
2019-07-04T00:00:00	83	2	
2019-07-04T00:00:00	85	100	
2019-07-04T00:00:00	85	87	
2019-07-04T00:00:00	85	104	
2019-07-04T00:00:00	85	244	
2019-07-04T00:00:00	87	85	
2019-07-04T00:00:00	87	128	
2019-07-04T00:00:00	87	122	
2019-07-04T00:00:00	87	131	
2019-07-04T00:00:00	88	76	
2019-07-04T00:00:00	91	109	
2019-07-04T00:00:00	91	118	
2019-07-04T00:00:00	91	94	
2019-07-04T00:00:00	94	101	
2019-07-04T00:00:00	94	118	
2019-07-04T00:00:00	94	91	
2019-07-04T00:00:00	97	32	
2019-07-04T00:00:00	97	164	
2019-07-04T00:00:00	99	36	
2019-07-04T00:00:00	100	85	
2019-07-04T00:00:00	100	120	
2019-07-04T00:00:00	100	82	
2019-07-04T00:00:00	101	118	
2019-07-04T00:00:00	101	94	
2019-07-04T00:00:00	104	56	
2019-07-04T00:00:00	104	85	
2019-07-04T00:00:00	105	107	
2019-07-04T00:00:00	107	105	
2019-07-04T00:00:00	108	39	
2019-07-04T00:00:00	108	117	
2019-07-04T00:00:00	109	91	
2019-07-04T00:00:00	110	73	
2019-07-04T00:00:00	111	74	
2019-07-04T00:00:00	112	80	
2019-07-04T00:00:00	112	79	
2019-07-04T00:00:00	113	137	
2019-07-04T00:00:00	114	39	
2019-07-04T00:00:00	114	117	
2019-07-04T00:00:00	114	8	
2019-07-04T00:00:00	115	152	
2019-07-04T00:00:00	115	139	
2019-07-04T00:00:00	117	108	
2019-07-04T00:00:00	117	114	
2019-07-04T00:00:00	118	101	
2019-07-04T00:00:00	118	94	
2019-07-04T00:00:00	118	91	
2019-07-04T00:00:00	119	200	
2019-07-04T00:00:00	120	56	
2019-07-04T00:00:00	120	100	
2019-07-04T00:00:00	120	82	
2019-07-04T00:00:00	120	29	
2019-07-04T00:00:00	122	128	
2019-07-04T00:00:00	122	87	
2019-07-04T00:00:00	122	2	
2019-07-04T00:00:00	122	133	
2019-07-04T00:00:00	122	131	
2019-07-04T00:00:00	122	137	
2019-07-04T00:00:00	123	148	
2019-07-04T00:00:00	123	135	
2019-07-04T00:00:00	123	129	
2019-07-04T00:00:00	123	161	
2019-07-04T00:00:00	124	141	
2019-07-04T00:00:00	125	147	
2019-07-04T00:00:00	125	2	
2019-07-04T00:00:00	126	134	
2019-07-04T00:00:00	126	161	
2019-07-04T00:00:00	128	87	
2019-07-04T00:00:00	128	83	
2019-07-04T00:00:00	128	177	
2019-07-04T00:00:00	128	122	
2019-07-04T00:00:00	128	133	
2019-07-04T00:00:00	128	131	
2019-07-04T00:00:00	129	123	
2019-07-04T00:00:00	129	134	
2019-07-04T00:00:00	129	161	
2019-07-04T00:00:00	131	128	
2019-07-04T00:00:00	131	87	
2019-07-04T00:00:00	131	148	
2019-07-04T00:00:00	131	135	
2019-07-04T00:00:00	131	122	
2019-07-04T00:00:00	131	137	
2019-07-04T00:00:00	131	159	
2019-07-04T00:00:00	132	226	
2019-07-04T00:00:00	133	128	
2019-07-04T00:00:00	133	2	
2019-07-04T00:00:00	133	122	
2019-07-04T00:00:00	133	137	
2019-07-04T00:00:00	134	126	
2019-07-04T00:00:00	134	129	
2019-07-04T00:00:00	134	161	
2019-07-04T00:00:00	135	123	
2019-07-04T00:00:00	135	148	
2019-07-04T00:00:00	135	131	
2019-07-04T00:00:00	135	159	
2019-07-04T00:00:00	135	161	
2019-07-04T00:00:00	136	43	
2019-07-04T00:00:00	137	113	
2019-07-04T00:00:00	137	2	
2019-07-04T00:00:00	137	122	
2019-07-04T00:00:00	137	133	
2019-07-04T00:00:00	137	131	
2019-07-04T00:00:00	138	197	
2019-07-04T00:00:00	139	152	
2019-07-04T00:00:00	139	115	
2019-07-04T00:00:00	140	226	
2019-07-04T00:00:00	141	124	
2019-07-04T00:00:00	142	189	
